V jenkins:promoted_builds ---expect--> org.jenkins-ci.plugins:promoted-builds
   > 17.5011  org.jenkins-ci.plugins:TestFairy
   > 17.5011  org.jenkins-ci.plugins:jackson-databind
   > 17.5011  org.jenkins-ci.plugins:extension-filter
   > 17.5011  org.jenkins-ci.plugins:quayio-trigger
   > 17.5011  org.jenkins-ci.plugins:cvs-tag
   > 17.5011  org.jenkins-ci.plugins:nested-view
   > 17.5011  org.jenkins-ci.plugins:envinject-api
   > 17.5011  org.jenkins-ci.plugins:jquery-ui
   > 17.5011  org.jenkins-ci.plugins:windows-slaves
   > 17.5011  org.jenkins-ci.plugins:buildresult-trigger
   > 17.5011  org.jenkins-ci.plugins:scm-api
   > 17.5011  org.jenkins-ci.plugins:dry-run
